"1050℃+150MPa蠕变条件/时间","1150℃+100MPa蠕变条件/时间","700MPa不均匀变形的蠕变测试/温度","700MPa晶界滑移的蠕变测试/温度","_id","Al","Al2O3涂层/Al2O3含量","Al2O3涂层/Al含量","Al2O3涂层/Fe含量","Al2O3涂层/NH4Cl含量","Al2O3涂层/NH5Cl含量","Al2O3涂层/加热时间","Al2O3涂层/温度","Al2O4涂层/加热时间","B","C","Co","Cr","Hf","Ir","Mo","Nb","Ni","Re","Ru","Ta","Ti","W","Zr","力学性能/蠕变应变","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶处理（炉冷）/时间","固溶处理（炉冷）/温度","圆盘型显微结构724Mpa且677℃下蠕变测试/时间","均匀化处理/时间","均匀化处理/温度","备注","孔型显微结构724Mpa且677℃下蠕变测试/时间","拉伸/时间","拉伸蠕变测试/测试压力","拉伸蠕变测试/测试温度","拉伸蠕变测试/蠕变时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","施加恒定应力/应力","施加恒定温度/温度","时效处理/时间","时效处理/温度","时效处理/炉冷","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","炉冷/温度","热挤压/热挤压温度","热轧/热轧时间","热轧/热轧温度","直径/坯料直径","第一次轧制/温度","第二次轧制/温度","蠕变变形测试/时间","蠕变变形测试/测试温度","蠕变变形测试/蠕变应力","蠕变实验/平均压力","蠕变实验/平均应力","蠕变实验/时间","蠕变实验/晶向","蠕变实验/温度","蠕变断裂/加载应力","蠕变断裂/时间","蠕变断裂实验/温度","蠕变断裂测试/温度","蠕变测试/压力","蠕变测试/应力","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变测试/蠕变温度","蠕变测试/试样厚度","退火/退火时间","退火/退火温度","重量/铸锭重量","镀铝/镀铝"
,,,,"ObjectId(""5b4d51a2e6b1a819a85d9d09"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.03E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.570776255707811.8721461187215h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51a7e6b1a819a85d9d0b"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"8.09E-1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.57077625570786.39269406392694h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51ace6b1a819a85d9d0d"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.76E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.570776255707823.5159817351598h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51b1e6b1a819a85d9d0f"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.54E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.570776255707821.689497716895h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51b6e6b1a819a85d9d11"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"8.82E-1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.57077625570787.99086757990868h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51bbe6b1a819a85d9d13"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"6.62E-1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.57077625570785.25114155251141h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51c0e6b1a819a85d9d15"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.47E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.570776255707820.5479452054795h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51c5e6b1a819a85d9d17"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.84E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.570776255707825.5707762557078h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51cae6b1a819a85d9d19"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.10E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.570776255707813.9269406392694h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51d3e6b1a819a85d9d1b"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.85E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.3424657534247h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51d8e6b1a819a85d9d1d"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.51E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","74.2009132420091h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51dde6b1a819a85d9d1f"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.35E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","72.8310502283105h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51e2e6b1a819a85d9d21"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.26E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","71.9178082191781h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51e7e6b1a819a85d9d23"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"5.88E-1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.57077625570783.42465753424658h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51ede6b1a819a85d9d25"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.72E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.1141552511416h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51f2e6b1a819a85d9d27"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.62E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","74.4292237442922h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51f6e6b1a819a85d9d29"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"9.26E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","67.351598173516h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d51fbe6b1a819a85d9d2b"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"5.15E-1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.57077625570781.59817351598174h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5207e6b1a819a85d9d2d"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.18E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","70.7762557077626h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d520ce6b1a819a85d9d2f"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.43E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","73.2876712328767h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5211e6b1a819a85d9d31"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.00E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","68.4931506849315h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5216e6b1a819a85d9d33"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"2.04E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.5707762557078h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d521be6b1a819a85d9d35"")","5.0","49%","24.5%","24.5%",,"2%",,"1000℃","5h",,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"2.94E-1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","75.57077625570780.684931506849315h","{110}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d521fe6b1a819a85d9d37"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"1.09E+1%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","69.4063926940639h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5229e6b1a819a85d9d39"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"3.24E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","42.2374429223744h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d522ee6b1a819a85d9d3b"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"4.41E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","49.5433789954338h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5233e6b1a819a85d9d3d"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"2.94E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","40.1826484018265h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5238e6b1a819a85d9d3f"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"3.46E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","44.2922374429224h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5240e6b1a819a85d9d41"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"3.82E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","46.3470319634703h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5245e6b1a819a85d9d43"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"8.01E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","64.1552511415525h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d524ae6b1a819a85d9d45"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"5.07E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","53.4246575342466h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d524fe6b1a819a85d9d47"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"5.44E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","55.0228310502283h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5254e6b1a819a85d9d49"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"5.81E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","57.3059360730594h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5259e6b1a819a85d9d4b"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"7.35E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","62.7853881278539h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d525ee6b1a819a85d9d4d"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"6.25E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","59.1324200913242h","{100}","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d5263e6b1a819a85d9d4f"")","5.0","49%","24.5%","24.5%","2%",,"5h","1000℃",,,,"5.2wt.%","10.0","-",,"-",,"balance","-",,"12.1","1.4","4.0",,"4.71E+0%","2h","1287℃",,,"1h","1294℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"32h","870℃",,"",,,"PWA 1480",,,,,,,,,,,,"392Mpa","51.3698630136986h","{100}","900℃",,,,,,,,,,,,,,,,,
