"1%蠕变应变的时间/时间","_id","Al","B","C","Co","Cr","Hf","La","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Zr","力学性能/蠕变极限","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/高温时效温度","材料牌号","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","蠕变测试/Larson-Miller参数","蠕变测试/变形量","蠕变测试/时间","蠕变测试/测试温度","蠕变测试/温度","高温低应力蠕变极限测试/Larson-Miller参数"
,"ObjectId(""5b4d949ae6b1a815d464f660"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"411.393Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"16.9587100%","1%",,,"1200℉",
,"ObjectId(""5b4d949fe6b1a815d464f662"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"58.8318Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.3104100%","0.5%",,,"1800℉",
,"ObjectId(""5b4d94a4e6b1a815d464f664"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"282.989Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"18.0826100%","1%",,,"1200℉",
,"ObjectId(""5b4d94a9e6b1a815d464f666"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"39.1691Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"24.0967100%","0.5%",,,"1800℉",
,"ObjectId(""5b4d94aee6b1a815d464f668"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"348.014Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"17.5207100%","1%",,,"1200℉",
,"ObjectId(""5b4d94b2e6b1a815d464f66a"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"58.4961Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.0701100%","0.5%",,,"1800℉",
,"ObjectId(""5b4d94b7e6b1a815d464f66c"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"341.245Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"17.6198100%","1%",,,"1200℉",
,"ObjectId(""5b4d94bde6b1a815d464f66e"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"24.026Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"24.6122100%","0.5%",,,"1800℉",
,"ObjectId(""5b4d94c2e6b1a815d464f670"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"38.8055Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.9687100%","0.5%",,,"1800℉",
,"ObjectId(""5b4d94cce6b1a815d464f672"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"66.3747Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.1473100%","0.5%",,,"1700℉",
,"ObjectId(""5b4d94d1e6b1a815d464f674"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"66.333Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.1473100%","0.5%",,,"1700℉",
,"ObjectId(""5b4d94d5e6b1a815d464f676"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"74.8507Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.5982100%","0.5%",,,"1600℉",
,"ObjectId(""5b4d94dae6b1a815d464f678"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"139.81Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"17.7599100%","0.5%",,,"1200℉",
,"ObjectId(""5b4d94dfe6b1a815d464f67a"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"65.6429Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.1473100%","0.5%",,,"1700℉",
,"ObjectId(""5b4d94e4e6b1a815d464f67c"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"74.8878Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.444100%","0.5%",,,"1600℉",
,"ObjectId(""5b4d94e9e6b1a815d464f67e"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"66.1937Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.1473100%","0.5%",,,"1700℉",
,"ObjectId(""5b4d94eee6b1a815d464f680"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"58.5378Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.9499100%","0.5%",,,"1800℉",
,"ObjectId(""5b4d94f3e6b1a815d464f682"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"86.056Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"21.6432100%","0.5%",,,"1600℉",
,"ObjectId(""5b4d94f7e6b1a815d464f684"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"66.2912Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.1473100%","0.5%",,,"1700℉",
,"ObjectId(""5b4d94fce6b1a815d464f686"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"74.9575Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.2213100%","0.5%",,,"1600℉",
,"ObjectId(""5b4d9501e6b1a815d464f688"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"86.1117Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"21.4206100%","0.5%",,,"1600℉",
,"ObjectId(""5b4d9506e6b1a815d464f68a"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"66.0019Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.1473100%","0.5%",,,"1700℉",
,"ObjectId(""5b4d950be6b1a815d464f68c"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"66.2633Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.1473100%","0.5%",,,"1700℉",
,"ObjectId(""5b4d9510e6b1a815d464f68e"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"85.6831Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"21.5407100%","0.5%",,,"1600℉",
,"ObjectId(""5b4d951ee6b1a815d464f692"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"148.033Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"17.3185100%","0.5%",,,"1200℉",
,"ObjectId(""5b4d9528e6b1a815d464f696"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"155.544Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"16.5505100%","0.5%",,,"1200℉",
,"ObjectId(""5b4d9545e6b1a815d464f6a2"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"148.467Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"17.2155100%","0.5%",,,"1200℉",
,"ObjectId(""5b4d954fe6b1a815d464f6a6"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"148.122Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"17.0095100%","0.5%",,,"1200℉",
,"ObjectId(""5b4d9554e6b1a815d464f6a8"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"155.581Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"16.4127100%","0.5%",,,"1200℉",
,"ObjectId(""5b4d955ee6b1a815d464f6ac"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"155.609Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"16.3268100%","0.5%",,,"1200℉",
